Country Name,Country Code,Indicator Name,Indicator Code,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Frágiles y situaciones de conflicto afectados,FCS,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,568.703656182382,532.672414898961,550.330820471815,577.777787603316,620.680900982919,616.948644165723,629.133625875474,669.890878348891,726.768706817298,729.301123723498,729.683944413977,851.882890898999,1001.01829695808,1196.28317475728,1424.3011226465,1732.64301516848,1874.40972269826,2041.67972709445,2016.37368622669,2306.40570862729,2409.30546370287,2504.85887997974,2363.96434782265,2167.72969353332,1980.70052363807,1973.87066914338,2051.87242096773,
Finlandia,FIN,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,20680,20170,22030,24970,26680,25820,26040,26450,25810,25550,28720,35270,40170,42800,46160,50070,48800,49600,50150,48940,49480,49390,47150,45500,44830,48280,50000,
Fiji,FJI,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,2090,2230,2460,2660,2580,2300,2360,2240,2140,2170,2420,3040,3590,3620,3820,4010,3860,3650,3770,4140,4710,5020,5100,5280,5370,5910,5800,
Francia,FRA,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,23580,24380,25740,27110,26930,25830,25420,24970,23840,23090,25930,31360,35870,37850,40130,43460,43930,43850,44350,43380,43780,43320,41100,39070,38330,41200,42460,
Islas Feroe,FRO,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia (Estados Federados de),FSM,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,2120,2130,2200,2140,1930,1950,2050,2210,2260,2270,2380,2440,2560,2560,2570,2590,2820,2900,3070,3150,3180,3150,3490,3410,3450,3400,,
Gabón,GAB,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,4430,4130,3910,4100,4270,3940,3280,3090,3420,3610,3880,4310,5520,5740,6590,7320,7590,7850,8120,9090,9330,9330,7970,7080,6510,6830,7170,
Reino Unido,GBR,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,21320,21850,21080,22790,25280,26830,28150,29230,28990,29190,32270,37780,42790,45100,47540,48560,44250,41750,41080,41690,42690,44360,44350,42950,41290,41770,42220,
Georgia,GEO,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,540,510,550,670,820,870,840,790,780,840,990,1210,1520,1910,2380,2820,2950,3210,3520,4150,4530,4740,4410,4080,4040,4460,4780,
Ghana,GHA,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,420,370,370,380,390,390,390,340,300,270,320,380,460,600,790,1150,1190,1240,1380,1530,1850,1900,1940,1820,1890,2130,2220,
Gibraltar,GIB,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,490,500,500,510,510,470,450,400,360,350,340,370,360,400,470,620,670,690,680,700,700,740,760,780,820,850,930,
Gambia,GMB,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,710,690,690,700,690,660,640,620,560,440,390,470,520,640,700,810,880,890,760,760,730,650,620,620,660,720,750,
Guinea-Bissau,GNB,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,230,220,220,240,240,160,160,210,250,300,330,380,430,440,470,510,560,580,640,630,640,640,640,650,680,750,820,
Guinea Ecuatorial,GNQ,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,370,270,250,360,870,700,820,770,900,1270,1190,1720,3890,8110,11600,14250,12530,9970,11540,13870,14030,13230,10850,8270,6510,6650,6460,
Grecia,GRC,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,24550,26350,28660,29330,27380,24470,23190,22430,22010,20140,18550,17910,18970,19750,
Granada,GRD,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,3120,3210,3310,3500,3660,3990,4310,4610,4510,4650,5290,5350,6650,6430,6830,7260,6720,6940,7060,7030,7350,7520,7780,8350,8890,9580,9840,
Groenlandia,GRL,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,16600,17830,19470,20780,20540,20440,19740,20290,19390,18760,20440,25730,30920,30240,34800,,,,,,,,,,,,,
Guatemala,GTM,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,1140,1230,1360,1440,1530,1610,1650,1670,1610,1620,1700,1880,2030,2190,2410,2650,2700,2780,2950,3210,3410,3570,3700,3870,4090,4390,4610,
Guam,GUM,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,460,570,670,830,890,880,860,890,880,890,940,1030,1090,1470,2280,3860,4180,4510,4820,5280,5540,5570,5470,5600,5910,6290,6630,
Ingreso alto,HIC,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,21138.8631930465,22198.2851318624,23648.954552884,24783.8768291389,24892.3583419645,23987.0736182632,24297.024600467,25307.0964063531,25300.6364186725,25145.5383853467,27094.2284137765,30909.7072050609,34055.324523221,35759.5611402344,37188.0241304834,38789.7168718027,38132.5905294795,39164.269271891,40491.6343270413,41841.1853308784,42655.639337275,42849.658080194,41650.77574501,40745.8897265158,40978.9687920574,43809.2792966663,45348.4489408064,
"Hong Kong, Región Administrativa Especial",HKG,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,19560,21820,23570,24140,26080,25110,25800,26930,26350,25270,26340,28120,28890,30290,32070,33950,32350,33620,35690,36340,38570,40240,41180,42970,46390,50060,50800,
Honduras,HND,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,950,880,900,870,910,910,930,1020,1040,1070,1130,1210,1290,1360,1490,1620,1630,1720,1870,1970,2000,2000,2060,2120,2250,2320,2390,
