,industry,variable,value
310,66 ACTIVIDADES AUXILIARES A LOS SERVICIOS FINANCIEROS,2003,3.01
311,68 ACTIVIDADES INMOBILIARIAS,2003,25890.53
312,69 ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD,2003,3804.51
313,70 ACTV. SEDES CENTRALES; ACTIV. CONSULTORÍA DE GESTIÓN,2003,3.0
314,71 SERVICIOS TECNICOS ARQUITECTURA E INGENIERIA,2003,84.87
315,73 PUBLICIDAD Y ESTUDIOS DE MERCADO,2003,284.05
316,"74 OTRAS ACTIV. PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",2003,0.0
317,81 SERVICIOS A EDIFICIOS Y ACTIVIDADES DE JARDINERÍA,2003,7.5
318,82 ACTIVIDADES ADMINISTRATIVAS DE OFICINA,2003,635.45
319,85 EDUCACIÓN,2003,50.0
320,"01 AGRICULTURA, GANADERÍA, CAZA Y SERV. RELACIONADOS",2004,3.5
321,10 INDUSTRIA DE LA ALIMENTACIÓN,2004,2030.01
322,20 INDUSTRIA QUÍMICA,2004,300.78
323,22 FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICOS,2004,3760.0
324,28 FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.O.P.,2004,278.72
325,"29 FABRICACIÓN DE VEHÍCULOS DE MOTOR, REMOLQUES",2004,0.0
326,32 OTRAS INDUSTRIAS MANUFACTURERAS,2004,12.0
327,33 REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO,2004,112.0
328,41 CONSTRUCCIÓN DE EDIFICIOS,2004,1924.57
329,43 ACTIVIDADES DE CONSTRUCCIÓN ESPECIALIZADA,2004,3.7
330,"46 COMER.MAYOR E INTERME.COMERCIO,EXCEP.VEHÍCULOS MOTOR",2004,2141.54
